variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
ppiC	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8816	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8811	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8731	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8730	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8729	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8600	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8576	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8574	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8569	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_8550	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
bluR	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
slyA	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hpxZ	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_8479	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8457	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8456	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8431	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8422	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
iraM	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hokG~~~hokF	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8398	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_8278	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_8016	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_7972	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_7961	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_7592	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_7555	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
narW	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_7411	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_7291	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_7258	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_7148	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
hypA	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_7030	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
ychN	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_6861	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6778	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6756	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_6714	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6697	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
osmC	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_6588	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6577	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6575	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
hycA	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6282	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
hydN	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_6031	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5899	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5676	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
modB	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5574	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
yncC	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5509	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5448	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5437	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hpxA	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5399	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5383	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5365	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
glnP	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5338	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5332	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5319	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5274	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_5262	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hpxU	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hycE	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_5004	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4953	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4843	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4832	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_4819	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_4806	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4794	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4785	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4755	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_4741	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_4595	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_4405	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_4108	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_4003	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3922	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3920	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3888	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3886	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3873	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3849	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3826	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
iolE	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3823	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3817	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3814	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3809	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3786	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
ydhS	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3746	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3736	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3703	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3688	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3684	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3674	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3673	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3631	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3567	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
ascB	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3539	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3527	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
ynfH	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3524	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3522	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3519	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3517	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3503	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3495	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3490	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3486	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3479	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3463	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3454	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
ariR	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3436	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3432	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3430	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3428	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3406	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3395	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3380	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
yieK	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3307	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3305	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
bssR	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3294	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3285	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3269	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3209	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3152	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3139	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3109	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3090	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3089	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3079	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3063	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3035	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3026	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3022	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3021	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3019	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_3010	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
pqqA	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3007	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_3004	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2998	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2997	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
modE	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2937	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2921	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
ydhK	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2908	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2899	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2898	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2896	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2895	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2887	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2880	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2862	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2813	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
ymgA	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2781	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2767	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2760	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2731	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2722	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2715	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2714	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2669	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2640	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2616	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2601	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
vasK~~~tssM	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2571	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
phnT	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
phnV	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2548	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
gcvA	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2424	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2415	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2414	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2376	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
yfeJ	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2373	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
ppsC	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2355	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2345	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2343	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2342	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
modF	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2330	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2328	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2314	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2313	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hypE	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2248	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_2114	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2074	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_2004	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
hypB	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1966	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
azlD	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1939	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1926	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1917	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1905	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1896	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1895	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
tssJ	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1832	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1770	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
hypF	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1769	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1753	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
dsbG	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1700	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1671	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
pduM	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
rcsD	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1627	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1609	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
modC	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1587	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1574	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
evpB	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1569	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1566	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1540	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1539	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1526	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
degA	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1515	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
hycH	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
nupC	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
acrZ	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1452	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1444	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
hpxW	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1376	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1344	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1335	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
ydhI	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1328	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1300	9.90E-01	3.15E-01	1.00E+00	1.12E+00	4.97E+00	-1.10E+00	bad-chisq
group_1291	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
group_1288	9.90E-01	3.15E-01	1.00E+00	-1.12E+00	4.97E+00	1.10E+00	bad-chisq
